Model,TDP
AMD Ryzen 3 3250U,15.0
AMD Athlon 320GE,35.0
AMD Athlon 300GE,35.0
AMD Ryzen 3 3200U,15.0
AMD Athlon Gold 3150U,15.0
AMD Ryzen 3 3250C,15.0
AMD Athlon 300U,15.0
AMD Athlon Silver 3050U,15.0
AMD Athlon Silver 3050e,6.0
AMD Athlon Gold 3150C,15.0
AMD Athlon Silver 3050C,15.0
AMD 3020e,6.0
AMD 3015e,6.0
AMD Athlon Silver 3050GE ,35.0
AMD 3015Ce,6.0
AMD Ryzen 3 2200U,15.0
AMD Athlon Silver PRO 3125GE,35.0
AMD Athlon PRO 300GE,35.0
AMD Athlon PRO 3145B,15.0
AMD Athlon PRO 3045B,15.0
AMD Athlon PRO 300U Mobile Processor with Radeon Vega 3 Graphics,15.0
7th Gen AMD PRO A4-5350B APU,15.0
7th Gen AMD PRO A4-4350B APU,15.0
7th Gen AMD PRO A6-8350B APU,15.0
7th Gen AMD PRO A6-7350B APU,15.0
7th Gen A6-9550 APU,65.0
7th Gen A6-9500 APU,65.0
7th Gen A6-9500E APU,35.0
7th Gen A9-9425 APU,15.0
7th Gen A9-9420 APU,15.0
7th Gen A9-9410 APU,25.0
7th Gen A6-9225 APU,15.0
7th Gen A6-9220 APU,15.0
7th Gen A6-9220C APU,6.0
7th Gen A6-9210 APU,15.0
7th Gen A4-9125 APU,15.0
7th Gen A4-9120 APU,15.0
7th Gen A4-9120C APU,6.0
7th Gen AMD PRO A6-9500 APU,65.0
7th Gen AMD PRO A6-9500E APU,35.0
7th Gen AMD PRO A6-9500B APU,15.0
7th Gen E2-9010 APU,15.0
6th Gen AMD PRO A6-8570 APU,65.0
6th Gen AMD PRO A6-8570E APU,35.0
6th Gen AMD PRO A6-8550B APU,65.0
6th Gen AMD PRO A4-8350B APU,65.0
6th Gen AMD PRO A6-8500B APU,15.0
A6-7470K with Radeon R5 Series,65.0
A6-7400K with Radeon R5 Series,65.0
A6-6420K with Radeon HD 8470D,65.0
A6-6400K with Radeon HD 8470D,65.0
A4-7300 with Radeon HD 8470D,65.0
A4-6320 with Radeon HD 8370D,65.0
A4-6300 with Radeon HD 8370D,65.0
A6-8500P with Radeon R5 Graphics,15.0
A6-7000 with Radeon R4 Graphics,17.0
A6-5350M with Radeon HD 8450G,35.0
570,80.0
565,80.0
555,80.0
565,80.0
N660,35.0
P650,35.0
N640,35.0
B60,80.0
B59,80.0
B57,80.0
255e,45.0
A6-6420B with Radeon HD 8470D,65.0
A6-6400B with Radeon HD 8470D,65.0
A6 PRO-7400B with Radeon R5 Graphics,65.0
A4 PRO-7350B with Radeon R5 Graphics,65.0
A4 PRO-7300B with Radeon HD 8470D,65.0
A6 PRO-7050B with Radeon R4 Graphics,100.0
AMD Athlon 3000G,35.0
AMD Athlon 240GE,35.0
AMD Athlon 220GE,35.0
AMD Athlon 200GE,35.0
AMD Athlon PRO 200U Mobile Processor with Radeon Vega 3 Graphics,15.0
AMD Athlon PRO 200GE,35.0
Sempron 2650 APU with Radeon R3 Series,25.0
E2-3000 with Radeon HD 8280,15.0
E1-7010 with Radeon R2 Graphics,10.0
E1 Micro-6200T with Radeon R2 Graphics,3.95
E1-6010 with Radeon R2 Graphics,10.0
E1-2500 with Radeon HD 8240,15.0
E1-2200 with Radeon HD 8210,9.0
E1-2100 with Radeon HD 8210,9.0
TL-64,35.0
TL-60,31.0
TL-52,31.0
N870,35.0
P860,35.0
B77,95.0
B75,95.0
460,95.0
425e,45.0
AMD Ryzen 3 5400U,15.0
AMD Ryzen 3 5300U,15.0
AMD Ryzen 3 5300G ,65.0
AMD Ryzen 3 5300GE ,35.0
AMD Ryzen 3 3300X,65.0
AMD Ryzen 3 3100,65.0
AMD Ryzen 3 4300G ,65.0
AMD Ryzen 3 4300GE ,35.0
AMD Ryzen 3 4300U,15.0
AMD Ryzen 5 3400G with Radeon RX Vega 11 Graphics,65.0
AMD Ryzen 5 3400GE ,35.0
AMD Ryzen 7 3780U Microsoft Surface Edition,15.0
AMD Ryzen 3 3200G with Radeon Vega 8 Graphics,65.0
AMD Ryzen 3 3200GE ,35.0
AMD Ryzen 7 3750H,35.0
AMD Ryzen 5 3550H,35.0
AMD Ryzen 7 3700U,15.0
AMD Ryzen 5 3500U,15.0
AMD Ryzen 3 3350U,15.0
AMD Ryzen 5 3450U,15.0
AMD Ryzen 3 3300U,15.0
AMD Ryzen 5 3580U Microsoft Surface Edition,15.0
AMD Ryzen 7 3700C,15.0
AMD Ryzen 5 3500C,15.0
AMD Athlon Gold 3150GE ,35.0
AMD Athlon Gold 3150G ,65.0
AMD Ryzen 5 2500X,65.0
AMD Ryzen 5 2400G with Radeon RX Vega 11 Graphics,65.0
AMD Ryzen 5 2400GE with Radeon RX Vega 11 Graphics,35.0
AMD Ryzen 3 2300X,65.0
AMD Ryzen 3 2200G with Radeon Vega 8 Graphics,65.0
AMD Ryzen 3 2200GE with Radeon Vega 8 Graphics,35.0
AMD Ryzen 7 2800H,45.0
AMD Ryzen 5 2600H,45.0
